Subject,CCT2,CCT5,CCT6A,CCT7,CCT8,Pink1,Parkin,atg1,atg8,SIRT1,FOXO3,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,Control
W0-1,30.63842392,26.94855499,27.94394112,30.8172245,26.94564819,28.96726799,26.43431091,36.94900131,32.43865967,31.26330948,28.92618561,30.0098114,33.00993729,28.95807838,31.95113182,26.95360756,35.98200607,30.6757431,26.95310593,26.5473671,22.81254196
W0-1,30.49632645,25.93789864,28.32740974,29.38176918,26.29102898,31.00858116,26.89023209,37.00279999,35.96839905,32.6051178,29.49145317,28.8320713,33.45865631,29.32139397,32.90245819,27.28074646,34.31472397,27.72718811,27.61022568,26.93112373,22.67951012
W0-1,29.94210625,25.74749756,27.96359062,28.95342064,25.93806458,29.57801247,26.93556213,36.98774338,33.03045654,30.65961838,26.34285927,28.56240082,32.84712601,28.97454262,31.98892593,26.95033836,35.95378113,29.94862938,27.97101784,26.07678795,20.97888947
W0-2,25.76839447,24.7330246,24.97613525,26.36283112,24.46224976,26.50827217,25.92543793,32.56013489,31.06881332,27.37322235,27.5940876,26.79107666,28.73011017,25.22592545,30.34537315,24.36087608,29.80225754,25.91316795,27.11920357,26.26787758,20.93808746
W0-2,26.01911736,23.793396,25.64798164,25.60477066,24.03149986,26.60010338,26.38484001,31.96561432,35.95007706,29.96915436,29.95416832,24.90645599,28.94458008,25.77571106,29.89238167,25.35427666,33.0019989,27.42565155,27.8383522,26.60612297,21.95360756
W0-2,25.71502686,23.537817,25.39970398,25.84551239,23.98519325,26.46462631,26.51459312,30.7173214,31.79340935,27.95727539,26.13766861,25.94414711,28.22187996,25.21512222,30.77959442,24.45826721,30.46878433,25.49848938,27.2741375,26.13546371,19.911623
W0-3,27.54621887,25.68981171,26.60027695,27.92834091,25.54961014,26.88645172,26.97996902,26.77412605,30.93759155,30.93034172,28.52877045,27.96705437,30.71346664,25.95806122,28.4903183,24.07423973,27.84841347,24.75576973,26.9529438,26.9304142,22.40252876
W0-3,27.91737938,24.5929985,27.06625557,27.31475258,25.07946777,27.05207634,27.06078148,29.96796036,30.98852539,29.89092445,26.21018982,26.19036865,31.42794991,26.54283142,30.31879997,24.90868378,29.79176712,25.71269035,27.94500732,25.76662827,20.66205788
W0-3,27.17266655,23.93327904,26.32804108,26.70067596,24.42988968,26.29985428,26.58795357,28.50889015,32.31393814,30.17965126,26.27033806,26.99557495,30.48482323,26.22458076,29.48385429,24.29389763,28.77285957,24.51442909,26.94337463,25.96683693,20.38946152
W0-4,26.07252502,24.62804031,24.1275425,24.66585159,24.4701767,23.28082848,23.29854774,23.98171425,33.23823547,31.88342285,27.79138756,27.01770592,26.75930786,28.64898872,24.01181984,24.07436562,26.95888138,20.79538536,24.82276535,23.08503151,22.90927315
W0-4,25.30488586,22.35417747,24.92062187,23.16726685,23.666996,23.17742348,24.29221916,17.93743324,29.93707848,30.02492905,25.07053947,25.94381714,27.76743698,27.001894,25.91314316,24.78739738,27.43192863,21.26408768,25.43478775,23.1897316,20.66852379
W0-4,25.18005753,23.04428482,24.50640106,22.95572853,23.37013817,22.40906906,23.94485092,17.69309425,30.00248528,31.75101852,25.56524277,26.1612854,26.93813705,28.62862587,24.90341949,24.12408066,27.87104988,21.43215752,25.3501358,22.3459301,20.51560974
W4-1,28.73139,25.71367073,26.71193314,26.68469238,25.92756653,40,28.97197723,40,33.52362823,28.85421562,27.72937393,28.85931206,32.00838089,26.23784256,34.99238968,26.04745674,34.95995712,30.97214317,27.9617691,24.91830826,21.18348885
W4-1,30.0809288,25.95863914,26.96076012,26.97224236,25.95498085,40,28.71929741,40,34.94872665,29.98484802,29.98366547,30.66685867,32.97854996,28.90413284,35.99826622,26.96753502,36.9949379,35.95650482,27.97070503,27.96858215,21.94330025
W4-1,29.30531693,24.8883667,26.92726326,26.94087791,26.19483566,40,27.96276283,40,35.94297791,32.99700546,34.99303818,27.76046371,33.94871902,27.39688492,37.00414276,25.37252426,32.72186661,32.42726517,27.27687836,25.68814278,21.958601
W4-2,26.26501846,24.86712837,25.38892746,25.52486038,23.91632462,28.97505379,27.17756271,35.92104721,32.9256897,27.68999481,26.98052979,26.75708008,27.96858597,24.15886307,28.35620499,24.13597679,30.43502045,26.86990356,27.97525597,25.94743919,20.67056465
W4-2,26.09995651,24.45812416,25.33651733,24.95878601,23.26769638,27.44724083,26.82601166,30.93937111,32.90657806,27.8062706,26.97955322,25.70883751,28.87540817,25.94567871,28.06879425,24.35798836,30.17569351,29.09286308,27.89994812,27.84644508,20.75117493
W4-2,25.82054901,24.05170822,25.30697823,25.40940857,24.54528427,26.90930367,27.21981621,31.91332054,31.09100723,26.44500923,26.60614586,26.00643349,28.07645607,24.60757446,28.58727264,23.54116631,28.53082085,26.88467407,27.48665619,27.24201775,20.20441628
W4-3,25.55156708,23.8157959,24.79472733,24.335289,22.96326447,26.29671478,27.10201645,28.41030693,30.4568615,27.07174492,26.62796211,26.87437248,27.29719353,23.16124916,24.94655037,22.82320023,28.56568336,23.84468651,27.24872208,26.21801567,20.22766304
W4-3,25.32378006,23.74094772,24.99452782,24.04939079,22.33872604,25.84942436,26.38639259,26.6321373,30.92334557,27.0754509,26.59808731,26.28914452,28.36046982,23.97911263,27.40922546,22.82438278,27.56027412,25.18204689,27.59722328,26.41741562,20.2658844
W4-3,24.97267151,22.90146446,25.39787292,24.38350487,23.76127815,25.29383659,26.664608,26.93845749,29.47314835,25.98987198,26.32629967,25.97789764,27.84278297,23.54541016,24.70941162,22.29541588,26.68584633,24.19959831,27.34642982,26.82624626,19.73320007
W4-4,24.74878311,21.41168022,22.56858444,21.42562675,21.7472868,22.19309807,23.0880127,23.30292511,28.23368835,25.48965263,25.2658596,26.02593422,26.00819016,23.92069054,25.28450966,22.88913155,27.84564209,21.30219269,25.75353813,24.7872467,18.75927162
W4-4,25.66115761,23.27370644,24.71566963,22.97912788,21.59422684,22.87447739,24.09534836,24.67289352,27.85736847,25.69810677,25.63916397,25.16508865,26.69563484,24.38896751,22.78672218,22.45958328,25.68737602,21.94150543,25.18357468,24.62125969,19.12985992
W4-4,24.82214928,21.09100151,24.6655674,22.69076538,21.90034676,22.82124901,23.7734108,24.67238235,28.62857819,23.93689919,25.13013077,24.95815277,25.91068649,24.06938934,22.63826752,22.21948433,25.77807426,21.57042694,25.35235214,24.52613449,18.5542984
